option_idx,K,T,Vpi,price,vega,iv_initial,delta_bid,delta_ask,delta_bid_over_price,iv_bid_over_iv0
0,8,1,-1e+07,2.05629,0.412252,0.162427,-0.00249842,0.00272889,-0.00121502,1.011
1,8,1.5,-1e+07,2.10839,0.466047,0.158853,-0.00282362,0.00318548,-0.00133923,1.00785
2,8,2,-1e+07,2.1619,0.473691,0.156554,-0.00287478,0.00324981,-0.00132975,1.00607
3,8,3,-1e+07,2.26692,0.455707,0.153904,-0.00275622,0.00309825,-0.00121585,1.00414
4,9,1,-1e+07,1.21607,0.909136,0.154678,-0.00569463,0.00678437,-0.00468281,1.01227
5,9,1.5,-1e+07,1.31708,0.833947,0.152782,-0.00525913,0.0061858,-0.00399303,1.00873
6,9,2,-1e+07,1.40697,0.7578,0.151696,-0.0047434,0.00557616,-0.00337135,1.00662
7,9,3,-1e+07,1.56406,0.645607,0.150509,-0.00401497,0.00466948,-0.00256703,1.00445
8,10,1,-1e+07,0.584842,1.24739,0.14673,-0.00750847,0.00945041,-0.0128385,1.01286
9,10,1.5,-1e+07,0.716429,1.05649,0.146826,-0.00652557,0.00795012,-0.00910847,1.00913
10,10,2,-1e+07,0.827685,0.921681,0.146968,-0.00573679,0.00688396,-0.00693112,1.00696
11,10,3,-1e+07,1.01428,0.752216,0.147184,-0.00470358,0.0055313,-0.00463738,1.00466
12,11,1,-1e+07,0.216056,1.054,0.139893,-0.00557757,0.00793044,-0.0258154,1.01201
13,11,1.5,-1e+07,0.331841,0.967756,0.141548,-0.00560243,0.00724914,-0.0168829,1.00901
14,11,2,-1e+07,0.435851,0.878186,0.142685,-0.00530196,0.00653834,-0.0121646,1.00705
15,11,3,-1e+07,0.617345,0.74383,0.144084,-0.00458508,0.00546387,-0.00742709,1.00476
16,12,1,-1e+07,0.0580433,0.553724,0.133691,-0.00213588,0.0039165,-0.0367981,1.00921
17,12,1.5,-1e+07,0.128299,0.656386,0.136693,-0.0034621,0.00475712,-0.0269847,1.00855
18,12,2,-1e+07,0.203702,0.673174,0.138682,-0.00381009,0.00489338,-0.0187043,1.00686
19,12,3,-1e+07,0.352176,0.639898,0.14112,-0.00385357,0.00462301,-0.0109422,1.00479
0,8,1,-9.48718e+06,2.05629,0.412252,0.162427,-0.00231469,0.0110153,-0.00112566,1.0102
1,8,1.5,-9.48718e+06,2.10839,0.466047,0.158853,-0.00258854,0.0122926,-0.00122773,1.0072
2,8,2,-9.48718e+06,2.1619,0.473691,0.156554,-0.00263229,0.0125006,-0.00121758,1.00556
3,8,3,-9.48718e+06,2.26692,0.455707,0.153904,-0.00253115,0.0120226,-0.00111656,1.00381
4,9,1,-9.48718e+06,1.21607,0.909136,0.154678,-0.00524622,0.0252569,-0.00431407,1.01131
5,9,1.5,-9.48718e+06,1.31708,0.833947,0.152782,-0.0048279,0.0234351,-0.00366562,1.00801
6,9,2,-9.48718e+06,1.40697,0.7578,0.151696,-0.00433239,0.0209415,-0.00307923,1.00605
7,9,3,-9.48718e+06,1.56406,0.645607,0.150509,-0.0037139,0.0177864,-0.00237453,1.00412
8,10,1,-9.48718e+06,0.584842,1.24739,0.14673,-0.00685239,0.0214743,-0.0117167,1.01174
9,10,1.5,-9.48718e+06,0.716429,1.05649,0.146826,-0.00593939,0.022647,-0.00829027,1.00831
10,10,2,-9.48718e+06,0.827685,0.921681,0.146968,-0.00527766,0.0242899,-0.00637641,1.0064
11,10,3,-9.48718e+06,1.01428,0.752216,0.147184,-0.00429809,0.020755,-0.00423759,1.00426
12,11,1,-9.48718e+06,0.216056,1.054,0.139893,-0.0049815,0.012124,-0.0230566,1.01073
13,11,1.5,-9.48718e+06,0.331841,0.967756,0.141548,-0.00510486,0.0140967,-0.0153835,1.00821
14,11,2,-9.48718e+06,0.435851,0.878186,0.142685,-0.00488583,0.0152788,-0.0112099,1.0065
15,11,3,-9.48718e+06,0.617345,0.74383,0.144084,-0.0041905,0.0183202,-0.00678794,1.00435
16,12,1,-9.48718e+06,0.0580433,0.553724,0.133691,-0.00181712,0.0050708,-0.0313062,1.00784
17,12,1.5,-9.48718e+06,0.128299,0.656386,0.136693,-0.00306104,0.00749845,-0.0238587,1.00756
18,12,2,-9.48718e+06,0.203702,0.673174,0.138682,-0.00348684,0.0088284,-0.0171174,1.00628
19,12,3,-9.48718e+06,0.352176,0.639898,0.14112,-0.00356352,0.0120734,-0.0101186,1.00443
0,8,1,-8.97436e+06,2.05629,0.412252,0.162427,-0.00213858,0.0107424,-0.00104002,1.00943
1,8,1.5,-8.97436e+06,2.10839,0.466047,0.158853,-0.00236327,0.0118712,-0.00112089,1.00657
2,8,2,-8.97436e+06,2.1619,0.473691,0.156554,-0.00239993,0.0120522,-0.00111011,1.00507
3,8,3,-8.97436e+06,2.26692,0.455707,0.153904,-0.00231543,0.011635,-0.0010214,1.00348
4,9,1,-8.97436e+06,1.21607,0.909136,0.154678,-0.00481697,0.0243895,-0.0039611,1.01038
5,9,1.5,-8.97436e+06,1.31708,0.833947,0.152782,-0.00436317,0.0223928,-0.00331277,1.00724
6,9,2,-8.97436e+06,1.40697,0.7578,0.151696,-0.00393906,0.0199798,-0.00279967,1.0055
7,9,3,-8.97436e+06,1.56406,0.645607,0.150509,-0.00341902,0.0172705,-0.00218599,1.00379
8,10,1,-8.97436e+06,0.584842,1.24739,0.14673,-0.006197,0.0332108,-0.010596,1.01062
9,10,1.5,-8.97436e+06,0.716429,1.05649,0.146826,-0.00536411,0.0288305,-0.00748729,1.00751
10,10,2,-8.97436e+06,0.827685,0.921681,0.146968,-0.00483524,0.0247483,-0.00584189,1.00586
11,10,3,-8.97436e+06,1.01428,0.752216,0.147184,-0.00391001,0.0198236,-0.00385498,1.00388
12,11,1,-8.97436e+06,0.216056,1.054,0.139893,-0.00438723,0.0163496,-0.020306,1.00946
13,11,1.5,-8.97436e+06,0.331841,0.967756,0.141548,-0.00460442,0.020494,-0.0138754,1.0074
14,11,2,-8.97436e+06,0.435851,0.878186,0.142685,-0.00437039,0.0240659,-0.0100272,1.00581
15,11,3,-8.97436e+06,0.617345,0.74383,0.144084,-0.00380806,0.0197162,-0.00616844,1.00395
16,12,1,-8.97436e+06,0.0580433,0.553724,0.133691,-0.00149688,0.00650406,-0.0257891,1.00647
17,12,1.5,-8.97436e+06,0.128299,0.656386,0.136693,-0.00264405,0.00958514,-0.0206085,1.00654
18,12,2,-8.97436e+06,0.203702,0.673174,0.138682,-0.00310485,0.012982,-0.0152422,1.00559
19,12,3,-8.97436e+06,0.352176,0.639898,0.14112,-0.00320745,0.0173649,-0.00910751,1.00399
0,8,1,-8.46154e+06,2.05629,0.412252,0.162427,-0.00195022,0.0105025,-0.000948417,1.0086
1,8,1.5,-8.46154e+06,2.10839,0.466047,0.158853,-0.00212849,0.0115123,-0.00100953,1.00592
2,8,2,-8.46154e+06,2.1619,0.473691,0.156554,-0.00215777,0.0116724,-0.000998092,1.00456
3,8,3,-8.46154e+06,2.26692,0.455707,0.153904,-0.00209062,0.0113026,-0.00092223,1.00314
4,9,1,-8.46154e+06,1.21607,0.909136,0.154678,-0.00426542,0.0236556,-0.00350754,1.0092
5,9,1.5,-8.46154e+06,1.31708,0.833947,0.152782,-0.00387948,0.0212342,-0.00294552,1.00644
6,9,2,-8.46154e+06,1.40697,0.7578,0.151696,-0.00352949,0.0191976,-0.00250857,1.00493
7,9,3,-8.46154e+06,1.56406,0.645607,0.150509,-0.00301412,0.0167697,-0.00192711,1.00334
8,10,1,-8.46154e+06,0.584842,1.24739,0.14673,-0.00546649,0.032892,-0.00934696,1.00936
9,10,1.5,-8.46154e+06,0.716429,1.05649,0.146826,-0.00476844,0.0274528,-0.00665585,1.00667
10,10,2,-8.46154e+06,0.827685,0.921681,0.146968,-0.00428681,0.0239688,-0.00517927,1.0052
11,10,3,-8.46154e+06,1.01428,0.752216,0.147184,-0.00350592,0.0190631,-0.00345657,1.00348
12,11,1,-8.46154e+06,0.216056,1.054,0.139893,-0.00373011,0.0205525,-0.0172646,1.00804
13,11,1.5,-8.46154e+06,0.331841,0.967756,0.141548,-0.00398009,0.0257784,-0.011994,1.0064
14,11,2,-8.46154e+06,0.435851,0.878186,0.142685,-0.0038384,0.0232936,-0.00880667,1.00511
15,11,3,-8.46154e+06,0.617345,0.74383,0.144084,-0.00341085,0.0189666,-0.00552503,1.00354
16,12,1,-8.46154e+06,0.0580433,0.553724,0.133691,-0.00116514,0.00721274,-0.0200736,1.00504
17,12,1.5,-8.46154e+06,0.128299,0.656386,0.136693,-0.00222564,0.0123688,-0.0173473,1.00551
18,12,2,-8.46154e+06,0.203702,0.673174,0.138682,-0.00265971,0.0172266,-0.0130569,1.00479
19,12,3,-8.46154e+06,0.352176,0.639898,0.14112,-0.00280376,0.0169048,-0.00796126,1.00349
0,8,1,-7.94872e+06,2.05629,0.412252,0.162427,-0.00167285,0.0102182,-0.000813528,1.00739
1,8,1.5,-7.94872e+06,2.10839,0.466047,0.158853,-0.00188795,0.0111761,-0.000895442,1.00526
2,8,2,-7.94872e+06,2.1619,0.473691,0.156554,-0.00190964,0.0113181,-0.000883317,1.00403
3,8,3,-7.94872e+06,2.26692,0.455707,0.153904,-0.00186031,0.0109895,-0.000820635,1.0028
4,9,1,-7.94872e+06,1.21607,0.909136,0.154678,-0.00369688,0.0222632,-0.00304002,1.00797
5,9,1.5,-7.94872e+06,1.31708,0.833947,0.152782,-0.00338413,0.0202331,-0.00256943,1.00562
6,9,2,-7.94872e+06,1.40697,0.7578,0.151696,-0.00311008,0.0184902,-0.00221047,1.00434
7,9,3,-7.94872e+06,1.56406,0.645607,0.150509,-0.00259951,0.0156142,-0.00166203,1.00288
8,10,1,-7.94872e+06,0.584842,1.24739,0.14673,-0.00464456,0.031646,-0.00794157,1.00796
9,10,1.5,-7.94872e+06,0.716429,1.05649,0.146826,-0.00414632,0.0262769,-0.00578748,1.0058
10,10,2,-7.94872e+06,0.827685,0.921681,0.146968,-0.00370254,0.0227431,-0.00447337,1.00449
11,10,3,-7.94872e+06,1.01428,0.752216,0.147184,-0.00309211,0.0183734,-0.00304859,1.00307
12,11,1,-7.94872e+06,0.216056,1.054,0.139893,-0.00303407,0.0247039,-0.014043,1.00654
13,11,1.5,-7.94872e+06,0.331841,0.967756,0.141548,-0.00335114,0.0248453,-0.0100986,1.00539
14,11,2,-7.94872e+06,0.435851,0.878186,0.142685,-0.00327783,0.0219586,-0.00752052,1.00436
15,11,3,-7.94872e+06,0.617345,0.74383,0.144084,-0.00299596,0.0182942,-0.00485298,1.00311
16,12,1,-7.94872e+06,0.0580433,0.553724,0.133691,-0.000784499,0.00800486,-0.0135157,1.0034
17,12,1.5,-7.94872e+06,0.128299,0.656386,0.136693,-0.0018044,0.0142582,-0.014064,1.00447
18,12,2,-7.94872e+06,0.203702,0.673174,0.138682,-0.00221974,0.0174092,-0.010897,1.004
19,12,3,-7.94872e+06,0.352176,0.639898,0.14112,-0.00237963,0.0158789,-0.00675694,1.00296
0,8,1,-7.4359e+06,2.05629,0.412252,0.162427,-0.00137199,0.00921549,-0.000667217,1.00607
1,8,1.5,-7.4359e+06,2.10839,0.466047,0.158853,-0.00159843,0.010865,-0.000758126,1.00445
2,8,2,-7.4359e+06,2.1619,0.473691,0.156554,-0.00162933,0.0109914,-0.000753657,1.00344
3,8,3,-7.4359e+06,2.26692,0.455707,0.153904,-0.0015561,0.0106985,-0.000686437,1.00234
4,9,1,-7.4359e+06,1.21607,0.909136,0.154678,-0.00308047,0.0210812,-0.00253313,1.00665
5,9,1.5,-7.4359e+06,1.31708,0.833947,0.152782,-0.00284716,0.0193628,-0.00216173,1.00473
6,9,2,-7.4359e+06,1.40697,0.7578,0.151696,-0.00258855,0.0178538,-0.0018398,1.00362
7,9,3,-7.4359e+06,1.56406,0.645607,0.150509,-0.00214979,0.0146794,-0.00137449,1.00238
8,10,1,-7.4359e+06,0.584842,1.24739,0.14673,-0.00384763,0.0302319,-0.00657892,1.00659
9,10,1.5,-7.4359e+06,0.716429,1.05649,0.146826,-0.00341536,0.0252379,-0.0047672,1.00478
10,10,2,-7.4359e+06,0.827685,0.921681,0.146968,-0.00308015,0.0214818,-0.0037214,1.00373
11,10,3,-7.4359e+06,1.01428,0.752216,0.147184,-0.00256619,0.0177516,-0.00253007,1.00254
12,11,1,-7.4359e+06,0.216056,1.054,0.139893,-0.00233804,0.0268689,-0.0108215,1.00504
13,11,1.5,-7.4359e+06,0.331841,0.967756,0.141548,-0.00273276,0.0239974,-0.00823515,1.0044
14,11,2,-7.4359e+06,0.435851,0.878186,0.142685,-0.00273425,0.0208338,-0.00627335,1.00364
15,11,3,-7.4359e+06,0.617345,0.74383,0.144084,-0.00246335,0.0176854,-0.00399023,1.00256
16,12,1,-7.4359e+06,0.0580433,0.553724,0.133691,-0.000394374,0.00891363,-0.00679448,1.00171
17,12,1.5,-7.4359e+06,0.128299,0.656386,0.136693,-0.00138338,0.0170122,-0.0107825,1.00343
18,12,2,-7.4359e+06,0.203702,0.673174,0.138682,-0.00178407,0.0167133,-0.00875824,1.00322
19,12,3,-7.4359e+06,0.352176,0.639898,0.14112,-0.00196278,0.0148982,-0.00557328,1.00244
0,8,1,-6.92308e+06,2.05629,0.412252,0.162427,-0.00111311,0.00842436,-0.000541319,1.00493
1,8,1.5,-6.92308e+06,2.10839,0.466047,0.158853,-0.00130162,0.010245,-0.000617351,1.00363
2,8,2,-6.92308e+06,2.1619,0.473691,0.156554,-0.00132733,0.0105395,-0.000613964,1.00281
3,8,3,-6.92308e+06,2.26692,0.455707,0.153904,-0.00126638,0.00986233,-0.000558638,1.00191
4,9,1,-6.92308e+06,1.21607,0.909136,0.154678,-0.00255064,0.0200152,-0.00209744,1.0055
5,9,1.5,-6.92308e+06,1.31708,0.833947,0.152782,-0.00235634,0.0185515,-0.00178907,1.00391
6,9,2,-6.92308e+06,1.40697,0.7578,0.151696,-0.00210969,0.0167029,-0.00149945,1.00295
7,9,3,-6.92308e+06,1.56406,0.645607,0.150509,-0.00176299,0.0138515,-0.00112719,1.00196
8,10,1,-6.92308e+06,0.584842,1.24739,0.14673,-0.00309388,0.0285279,-0.00529012,1.0053
9,10,1.5,-6.92308e+06,0.716429,1.05649,0.146826,-0.00275424,0.0239328,-0.0038444,1.00385
10,10,2,-6.92308e+06,0.827685,0.921681,0.146968,-0.00253822,0.0203582,-0.00306664,1.00308
11,10,3,-6.92308e+06,1.01428,0.752216,0.147184,-0.00209171,0.0165439,-0.00206227,1.00207
12,11,1,-6.92308e+06,0.216056,1.054,0.139893,-0.00164385,0.0257471,-0.00760846,1.00355
13,11,1.5,-6.92308e+06,0.331841,0.967756,0.141548,-0.00213329,0.0224863,-0.00642867,1.00343
14,11,2,-6.92308e+06,0.435851,0.878186,0.142685,-0.00221372,0.0198406,-0.00507907,1.00295
15,11,3,-6.92308e+06,0.617345,0.74383,0.144084,-0.00199395,0.0164935,-0.00322987,1.00207
16,12,1,-6.92308e+06,0.0580433,0.553724,0.133691,2.91171e-06,0.00998658,5.01644e-05,0.999987
17,12,1.5,-6.92308e+06,0.128299,0.656386,0.136693,-0.000961454,0.0159236,-0.00749387,1.00238
18,12,2,-6.92308e+06,0.203702,0.673174,0.138682,-0.00135924,0.0155578,-0.00667268,1.00245
19,12,3,-6.92308e+06,0.352176,0.639898,0.14112,-0.00157713,0.0140563,-0.00447825,1.00196
0,8,1,-6.41026e+06,2.05629,0.412252,0.162427,-0.000847792,0.00788831,-0.000412292,1.00376
1,8,1.5,-6.41026e+06,2.10839,0.466047,0.158853,-0.000997575,0.0093921,-0.000473144,1.00278
2,8,2,-6.41026e+06,2.1619,0.473691,0.156554,-0.00101798,0.00962732,-0.000470873,1.00215
3,8,3,-6.41026e+06,2.26692,0.455707,0.153904,-0.00096959,0.00908294,-0.000427713,1.00146
4,9,1,-6.41026e+06,1.21607,0.909136,0.154678,-0.00199188,0.0192308,-0.00163796,1.0043
5,9,1.5,-6.41026e+06,1.31708,0.833947,0.152782,-0.0018067,0.017657,-0.00137175,1.003
6,9,2,-6.41026e+06,1.40697,0.7578,0.151696,-0.00161918,0.0156943,-0.00115083,1.00226
7,9,3,-6.41026e+06,1.56406,0.645607,0.150509,-0.00136691,0.0132498,-0.000873954,1.00152
8,10,1,-6.41026e+06,0.584842,1.24739,0.14673,-0.00224504,0.0271546,-0.00383871,1.00385
9,10,1.5,-6.41026e+06,0.716429,1.05649,0.146826,-0.00207047,0.0225403,-0.00288999,1.0029
10,10,2,-6.41026e+06,0.827685,0.921681,0.146968,-0.00197154,0.0195209,-0.00238199,1.00239
11,10,3,-6.41026e+06,1.01428,0.752216,0.147184,-0.00160569,0.0155605,-0.00158309,1.00159
12,11,1,-6.41026e+06,0.216056,1.054,0.139893,-0.000931838,0.0247848,-0.00431295,1.00201
13,11,1.5,-6.41026e+06,0.331841,0.967756,0.141548,-0.00149452,0.0212793,-0.00450373,1.0024
14,11,2,-6.41026e+06,0.435851,0.878186,0.142685,-0.00161516,0.0190201,-0.00370577,1.00215
15,11,3,-6.41026e+06,0.617345,0.74383,0.144084,-0.00151076,0.0154923,-0.00244719,1.00157
16,12,1,-6.41026e+06,0.0580433,0.553724,0.133691,0.000415143,0.0112996,0.0071523,0.998192
17,12,1.5,-6.41026e+06,0.128299,0.656386,0.136693,-0.000539757,0.0149502,-0.00420704,1.00134
