sim_id,final_pnl,final_Vpi,total_trades
0,174751,1.59307e+06,39
1,166775,-73105.9,28
2,103838,-1.04284e+06,27
3,184948,4.7175e+06,29
4,387410,1.01851e+06,40
5,92037.4,-4.09979e+06,19
6,130645,-174644,26
7,195747,1.76046e+06,32
8,212437,1.74518e+06,28
9,131605,-1.0979e+06,25
10,220270,2.14723e+06,36
11,150824,651153,25
12,149301,-997260,30
13,225551,-8.82085e+06,33
14,205221,-2.22092e+06,34
15,216956,-223189,35
16,224796,1.80787e+06,21
17,197464,-2.67772e+06,30
18,182113,154796,24
19,211737,3.96505e+06,32
20,140843,1.83233e+06,31
21,90831.3,-212775,19
22,115679,252869,24
23,239085,95556.3,30
24,172101,3.89807e+06,22
25,209887,6.53502e+06,31
26,117968,88061.7,24
27,110225,2.60828e+06,23
28,112855,-1.67938e+06,22
29,172365,-3.46992e+06,27
30,114712,82558.7,22
31,168685,-783305,29
32,113597,1.38763e+06,22
33,86066.7,3013.64,21
34,176701,-3.57057e+06,26
35,175666,2.2934e+06,34
36,189941,-2.04054e+06,29
37,232191,-916654,41
38,166564,356804,32
39,68256.1,2.06762e+06,17
40,223149,-5.66489e+06,35
41,222936,-290963,36
42,102699,-781587,23
43,151316,2.11563e+06,29
44,174537,-1.50374e+06,26
45,168687,-870757,30
46,178995,-7.74722e+06,34
47,209837,88491.6,32
48,142273,265332,33
49,218840,1.27749e+06,30
50,201082,-1.37235e+06,28
51,115996,1.85428e+06,25
52,176444,8.98576e+06,17
53,232549,1.34536e+06,30
54,152088,-2.35399e+06,31
55,245642,4.68078e+06,34
56,238030,-772308,36
57,151417,897149,27
58,144924,3.61905e+06,26
59,323697,3.31754e+06,35
60,185579,1.98668e+06,27
61,222161,2.70739e+06,32
62,101320,-959993,17
63,274207,-4.09355e+06,31
64,224563,3.35394e+06,24
65,179918,-693670,33
66,153321,1.74361e+06,22
67,108581,-139422,27
68,198258,407688,33
69,91607.1,-1.45506e+06,23
70,190421,-1.11571e+06,27
71,167367,1.62798e+06,34
72,84458.4,-234858,21
73,246548,-2.31106e+06,39
74,176579,2.92756e+06,28
75,96869.8,-332492,26
76,231310,-5.75269e+06,37
77,284103,-1.9124e+06,47
78,109688,438217,26
79,248478,-630870,29
80,314473,-744231,34
81,222987,216320,33
82,199160,958528,24
83,219543,4.41485e+06,29
84,291385,-7.44325e+06,30
85,186353,-1.02914e+06,26
86,137662,3.106e+06,24
87,173815,3.13247e+06,28
88,214697,129081,33
89,127691,3.02497e+06,31
90,68233.8,-225425,19
91,80610.6,-288665,22
92,198795,2.09664e+06,34
93,174767,-1.4397e+06,28
94,240101,2.51045e+06,36
95,266790,2.9637e+06,37
96,263397,2.828e+06,37
97,229769,199079,37
98,280570,-3.64296e+06,32
99,153549,3.58174e+06,24
100,211716,-4.34762e+06,25
101,162907,-264679,26
102,189254,1.90754e+06,25
103,120015,726538,24
104,131059,-53587.1,25
105,204909,1.93659e+06,30
106,161990,-2.8437e+06,32
107,176119,-1.02252e+06,25
108,167091,2.2589e+06,24
109,150978,-1.53629e+06,30
110,89567,-1.21765e+06,20
111,263205,-4.80808e+06,35
112,183372,-1.61947e+06,39
113,214828,-1.84881e+06,36
