nu,Vpi,v
0.0144,-1e+07,63403.7
0.0144,-9.48718e+06,74462.6
0.0144,-8.97436e+06,84929.3
0.0144,-8.46154e+06,94825.7
0.0144,-7.94872e+06,104126
0.0144,-7.4359e+06,112817
0.0144,-6.92308e+06,120849
0.0144,-6.41026e+06,128320
0.0144,-5.89744e+06,135225
0.0144,-5.38462e+06,141540
0.0144,-4.87179e+06,147288
0.0144,-4.35897e+06,152424
0.0144,-3.84615e+06,157094
0.0144,-3.33333e+06,161157
0.0144,-2.82051e+06,164609
0.0144,-2.30769e+06,167459
0.0144,-1.79487e+06,169744
0.0144,-1.28205e+06,171479
0.0144,-769231,172624
0.0144,-256410,173178
0.0144,256410,173192
0.0144,769231,172661
0.0144,1.28205e+06,171543
0.0144,1.79487e+06,169833
0.0144,2.30769e+06,167572
0.0144,2.82051e+06,164747
0.0144,3.33333e+06,161320
0.0144,3.84615e+06,157285
0.0144,4.35897e+06,152641
0.0144,4.87179e+06,147525
0.0144,5.38462e+06,141802
0.0144,5.89744e+06,135512
0.0144,6.41026e+06,128635
0.0144,6.92308e+06,121188
0.0144,7.4359e+06,113181
0.0144,7.94872e+06,104518
0.0144,8.46154e+06,95245.6
0.0144,8.97436e+06,85371.7
0.0144,9.48718e+06,74930.8
0.0144,1e+07,63897.7
0.0150207,-1e+07,63403.3
0.0150207,-9.48718e+06,74462.2
0.0150207,-8.97436e+06,84928.9
0.0150207,-8.46154e+06,94825.3
0.0150207,-7.94872e+06,104126
0.0150207,-7.4359e+06,112816
0.0150207,-6.92308e+06,120849
0.0150207,-6.41026e+06,128320
0.0150207,-5.89744e+06,135224
0.0150207,-5.38462e+06,141540
0.0150207,-4.87179e+06,147288
0.0150207,-4.35897e+06,152424
0.0150207,-3.84615e+06,157093
0.0150207,-3.33333e+06,161156
0.0150207,-2.82051e+06,164609
0.0150207,-2.30769e+06,167459
0.0150207,-1.79487e+06,169744
0.0150207,-1.28205e+06,171479
0.0150207,-769231,172624
0.0150207,-256410,173178
0.0150207,256410,173192
0.0150207,769231,172661
0.0150207,1.28205e+06,171543
0.0150207,1.79487e+06,169833
0.0150207,2.30769e+06,167572
0.0150207,2.82051e+06,164747
0.0150207,3.33333e+06,161321
0.0150207,3.84615e+06,157285
0.0150207,4.35897e+06,152641
0.0150207,4.87179e+06,147525
0.0150207,5.38462e+06,141802
0.0150207,5.89744e+06,135513
0.0150207,6.41026e+06,128636
0.0150207,6.92308e+06,121188
0.0150207,7.4359e+06,113182
0.0150207,7.94872e+06,104518
0.0150207,8.46154e+06,95246
0.0150207,8.97436e+06,85372.1
0.0150207,9.48718e+06,74931.2
0.0150207,1e+07,63898.1
0.0156414,-1e+07,63402.8
0.0156414,-9.48718e+06,74461.7
0.0156414,-8.97436e+06,84928.4
0.0156414,-8.46154e+06,94824.9
0.0156414,-7.94872e+06,104125
0.0156414,-7.4359e+06,112816
0.0156414,-6.92308e+06,120848
0.0156414,-6.41026e+06,128320
0.0156414,-5.89744e+06,135224
0.0156414,-5.38462e+06,141540
0.0156414,-4.87179e+06,147288
0.0156414,-4.35897e+06,152424
0.0156414,-3.84615e+06,157093
0.0156414,-3.33333e+06,161156
0.0156414,-2.82051e+06,164609
0.0156414,-2.30769e+06,167459
0.0156414,-1.79487e+06,169744
0.0156414,-1.28205e+06,171479
0.0156414,-769231,172624
0.0156414,-256410,173178
0.0156414,256410,173192
0.0156414,769231,172661
0.0156414,1.28205e+06,171543
0.0156414,1.79487e+06,169833
0.0156414,2.30769e+06,167572
0.0156414,2.82051e+06,164747
0.0156414,3.33333e+06,161321
0.0156414,3.84615e+06,157285
0.0156414,4.35897e+06,152641
0.0156414,4.87179e+06,147526
0.0156414,5.38462e+06,141803
0.0156414,5.89744e+06,135513
0.0156414,6.41026e+06,128636
0.0156414,6.92308e+06,121188
0.0156414,7.4359e+06,113182
0.0156414,7.94872e+06,104519
0.0156414,8.46154e+06,95246.5
0.0156414,8.97436e+06,85372.5
0.0156414,9.48718e+06,74931.7
0.0156414,1e+07,63898.7
